#ID USER ENTITLEMENT
0 1696 957
1 1564 862
2 1445 8
3 1572 862
4 1319 743
5 652 360
6 94 70
7 833 481
8 1070 629
9 1503 815
10 175 109
11 73 69
12 143 93
13 1885 1101
14 236 12
15 1478 8
16 1481 802
17 1894 1110
18 495 257
19 1108 646
20 830 481
21 1830 1095
22 2017 7
23 228 126
24 815 475
25 1682 940
26 1215 704
27 894 4
28 2035 1161
29 1327 743
30 1411 775
31 1485 807
32 1305 715
33 1080 636
34 329 37
35 247 12
36 1163 665
37 671 373
38 789 436
39 1120 644
40 494 257
41 1404 775
42 421 218
43 2037 1161
44 373 195
45 505 257
46 1601 808
47 1554 842
48 898 524
49 997 602
50 291 12
51 1555 842
52 477 235
53 396 213
54 1384 775
55 1072 629
56 1869 1103
57 1227 704
58 1568 865
59 1333 23
60 1462 802
61 1987 1139
62 473 235
63 271 162
64 1542 842
65 1872 1103
66 650 360
67 387 203
68 1657 909
69 165 101
70 691 356
71 1889 1109
72 363 6
73 1269 714
74 782 437
75 527 6
76 339 185
77 96 5
78 1673 937
79 151 100
80 725 405
81 1015 25
82 971 573
83 1411 776
84 1789 972
85 1460 802
86 1306 715
87 1928 1102
88 996 600
89 1590 875
90 301 173
91 1802 1035
92 927 545
93 1849 4
94 78 70
95 1489 5
96 1999 1141
97 1490 4
98 49 51
99 583 329
100 28 42
101 826 480
102 1249 77
103 1 4
104 1128 644
105 106 84
106 385 203
107 1226 704
108 431 7
109 607 334
110 220 5
111 45 51
112 158 12
113 1805 1050
114 1702 957
115 1602 883
116 2018 1158
117 1294 733
118 944 555
119 318 179
120 1408 776
121 508 5
122 412 37
123 1584 7
124 1177 666
125 1447 793
126 1222 704
127 1189 703
128 1916 1117
129 544 321
130 1230 704
131 401 213
132 1863 1103
133 632 349
134 1581 861
135 252 150
136 1203 707
137 1158 665
138 416 218
139 848 5
140 1944 6
141 897 527
142 1959 1139
143 1350 7
144 1212 9
145 895 41
146 250 150
147 910 5
148 839 482
149 10 31
150 1528 842
151 584 329
152 406 213
153 825 480
154 2026 1158
155 630 349
156 444 224
157 581 329
158 539 321
159 1204 707
160 1197 705
161 1013 7
162 1214 704
163 1767 974
164 1453 793
165 1035 620
166 1962 1139
167 1365 775
168 1708 966
169 440 224
170 1972 1139
171 41 48
172 501 257
173 1931 1102
174 848 4
175 1406 776
176 1613 882
177 468 235
178 315 41
179 1076 636
180 2027 1158
181 866 510
182 809 441
183 873 7
184 1494 807
185 1362 776
186 799 438
187 205 5
188 965 573
189 678 384
190 808 438
191 145 5
192 1080 635
193 929 545
194 875 37
195 1277 712
196 806 438
197 391 12
198 1346 747
199 966 573
200 1370 776
201 1400 775
202 1293 733
203 1208 707
204 1314 715
205 917 530
206 1102 642
207 1023 618
208 1717 967
209 1930 1102
210 970 573
211 255 153
212 1994 1141
213 1424 784
214 911 5
215 298 173
216 1595 878
217 1925 1102
218 1234 9
219 426 218
220 1942 1127
221 879 515
222 1924 1102
223 1812 1050
224 1169 667
225 524 237
226 1920 1102
227 175 108
228 1884 1101
229 729 372
230 713 356
231 323 183
232 72 26
233 974 573
234 1119 644
235 1441 7
236 1825 1097
237 329 5
238 321 183
239 677 385
240 229 139
241 1505 39
242 336 12
243 342 185
244 1563 846
245 1191 704
246 1562 856
247 1978 1108
248 1186 6
249 530 289
250 1318 743
251 1157 663
252 667 373
253 1734 931
254 567 321
255 349 191
256 98 72
257 1110 644
258 1713 966
259 393 205
260 298 170
261 18 36
262 564 321
263 1877 1106
264 837 481
265 1993 1141
266 1937 1102
267 1918 1102
268 1822 294
269 317 182
270 1263 713
271 849 26
272 1879 1107
273 1741 981
274 1790 23
275 707 390
276 489 240
277 694 388
278 1647 909
279 1502 807
280 1631 893
281 532 289
282 1002 548
283 26 43
284 116 84
285 1947 1140
286 1715 967
287 1694 953
288 942 555
289 1269 713
290 872 510
291 1471 802
292 110 84
293 503 257
294 1330 743
295 1605 882
296 1610 882
297 352 191
298 34 7
299 1660 909
300 1694 952
301 1629 886
302 1176 666
303 215 123
304 983 577
305 531 321
306 1749 981
307 1856 1100
308 207 123
309 1901 6
310 262 38
311 730 411
312 911 6
313 1170 667
314 1979 1139
315 1026 618
316 101 84
317 313 12
318 845 491
319 1271 714
320 468 232
321 578 328
322 1206 707
323 87 69
324 1876 259
325 1187 24
326 682 382
327 1543 842
328 608 334
329 1232 704
330 1236 704
331 337 185
332 449 7
333 842 487
334 75 69
335 515 281
336 250 153
337 1039 618
338 1706 966
339 1579 862
