#ID USER ENTITLEMENT
0 73 5
1 62 118
2 3 0
3 23 5
4 34 5
5 47 5
6 37 121
7 1 3
8 1 1
9 41 5
10 51 5
11 39 2
12 10 0
13 67 2
14 17 5
15 72 5
16 63 2
17 77 5
18 76 5
19 69 5
20 14 5
21 62 13
22 36 5
23 21 5
24 78 5
25 14 4
26 61 227
27 0 0
28 64 118
29 8 24
30 31 2
31 74 4
32 40 5
33 70 5
34 24 38
35 10 48
36 23 4
37 5 0
38 35 5
39 22 0
40 43 5
41 48 1
42 60 13
43 46 5
44 42 5
45 66 1
46 66 11
47 57 5
48 60 121
49 29 5
50 29 4
51 59 13
52 11 78
53 33 4
54 55 4
55 9 14
56 22 1
57 26 5
58 24 50
59 37 2
60 55 5
61 30 4
62 32 5
63 13 5
64 12 5
65 28 5
66 19 4
67 7 2
68 16 5
69 66 0
70 74 5
71 75 5
72 7 6
73 2 4
74 8 37
75 11 119
76 1 2
77 63 118
78 56 118
79 71 5
80 10 1
81 52 2
82 38 2
83 65 0
84 20 5
85 53 0
86 2 5
87 61 230
88 59 121
89 13 4
90 9 38
91 15 190
92 63 121
93 53 1
94 50 4
95 6 5
96 27 5
97 57 1
98 0 1
99 39 1
100 4 4
101 8 97
102 25 66
103 7 1
104 49 5
105 48 2
106 58 118
107 50 5
108 58 121
109 9 3
110 54 13
111 24 5
112 18 5
113 30 5
114 68 5
115 7 7
116 61 119
117 69 4
118 62 121
119 65 13
120 52 1
121 11 115
122 78 4
123 15 175
124 8 31
125 24 17
126 58 13
127 8 78
128 9 114
129 61 13
130 61 183
131 11 4
132 45 5
133 56 121
134 38 1
135 61 117
136 9 0
137 57 0
138 19 5
139 64 121
140 11 117
141 24 84
142 25 33
143 8 70
144 25 68
145 15 65
146 61 190
147 52 7
148 37 13
149 61 120
150 5 1
151 7 4
152 24 169
153 24 88
154 15 94
155 4 5
156 21 4
157 8 33
158 37 118
159 24 89
160 59 118
161 61 3
162 25 85
163 8 29
164 44 226
165 9 5
166 54 121
167 15 204
168 49 4
169 15 88
170 11 11
171 25 67
172 15 157
173 7 10
174 7 13
175 25 96
176 3 1
177 15 163
178 25 23
179 8 69
180 24 110
181 8 34
182 25 10
183 60 118
184 59 2
185 8 10
186 64 13
187 8 55
188 57 2
189 24 80
190 7 11
191 61 154
192 54 118
193 56 13
194 9 113
195 61 9
196 25 34
197 15 176
198 7 8
199 8 42
200 8 44
201 11 120
202 8 112
203 24 29
204 61 56
205 56 2
206 11 111
207 24 61
208 8 19
209 61 226
210 8 111
211 15 135
212 8 28
213 7 15
214 15 42
215 25 56
216 11 118
217 52 11
218 24 51
