#ID USER ENTITLEMENT
0 162 101
1 228 47
2 168 110
3 182 75
4 89 11
5 104 48
6 244 35
7 302 375
8 51 74
9 123 73
10 197 50
11 195 65
12 246 100
13 325 367
14 39 245
15 5 21
16 159 98
17 219 75
18 228 121
19 116 103
20 343 42
21 83 266
22 146 81
23 33 242
24 167 111
25 336 51
26 271 115
27 291 120
28 140 95
29 239 37
30 95 263
31 122 42
32 45 245
33 228 109
34 42 22
35 160 72
36 235 113
37 199 40
38 360 641
39 160 51
40 52 80
41 34 242
42 310 68
43 98 120
44 173 74
45 6 22
46 291 33
47 304 356
48 106 107
49 216 70
50 200 109
51 31 13
52 25 20
53 174 56
54 119 108
55 163 62
56 156 115
57 58 32
58 110 86
59 149 47
60 160 47
61 182 53
62 271 76
63 164 64
64 303 349
65 39 246
66 210 110
67 228 51
68 104 1
69 198 109
70 11 40
71 157 30
72 89 265
73 212 90
74 184 30
75 305 336
76 324 348
77 0 2
78 331 96
79 201 42
80 88 129
81 257 45
82 19 41
83 339 123
84 198 89
85 23 120
86 323 282
87 47 248
88 124 53
89 298 115
90 221 109
91 121 80
92 357 11
93 344 113
94 358 290
95 79 280
96 138 117
97 104 75
98 155 110
99 120 289
100 330 43
101 209 26
102 219 37
103 246 53
104 144 117
105 188 129
106 17 79
107 37 242
108 236 59
109 322 387
110 287 28
111 163 75
112 302 387
113 142 110
114 271 128
115 247 45
116 184 45
117 232 31
118 151 129
119 4 12
120 82 129
121 73 265
122 299 66
123 358 127
124 121 116
125 240 69
126 89 264
127 119 105
128 292 89
129 81 113
130 263 230
131 47 252
132 251 75
133 20 241
134 297 40
135 69 266
136 69 264
137 295 98
138 17 69
139 87 132
140 258 54
141 116 89
142 246 92
143 1 8
144 300 73
145 319 32
146 188 109
147 141 89
148 326 340
149 216 54
150 128 74
151 351 113
152 135 69
153 242 79
154 178 110
155 104 101
156 46 248
157 239 183
158 172 112
159 274 111
160 118 57
161 68 273
162 31 12
163 363 361
164 242 67
165 221 118
166 30 11
167 29 69
168 6 24
169 203 27
170 116 110
171 343 44
172 290 116
173 177 50
174 80 129
175 304 59
176 195 104
177 270 38
178 286 67
179 233 297
180 131 287
181 98 94
182 99 123
183 21 242
184 284 58
185 44 255
186 224 70
187 214 80
188 132 71
189 212 34
190 306 37
191 359 2
192 109 104
193 232 247
194 355 11
195 326 315
196 73 266
197 312 337
198 13 20
199 221 35
200 232 103
201 27 25
202 75 266
203 328 48
204 220 124
205 294 45
206 322 363
207 208 97
208 77 113
209 211 111
210 242 123
211 151 247
212 89 113
213 213 121
214 168 119
215 274 36
216 159 95
217 138 110
218 81 129
219 267 29
220 219 78
221 174 35
222 16 127
223 18 113
224 352 345
225 30 17
226 228 115
227 292 34
228 107 118
229 135 121
230 111 66
231 206 40
232 263 52
233 346 260
234 67 113
235 10 11
236 131 285
237 181 92
238 32 243
239 239 246
240 25 15
241 254 8
242 105 111
243 88 264
244 0 0
245 337 84
246 114 53
247 147 124
248 273 34
249 124 36
250 94 266
251 101 97
252 102 115
253 126 45
254 144 35
255 361 118
256 196 42
257 7 23
258 266 115
259 104 70
260 227 60
261 293 58
262 153 110
263 80 263
264 345 260
265 48 40
266 123 66
267 82 265
268 213 50
269 61 259
270 71 264
271 129 110
272 45 247
273 228 41
274 189 67
275 5 17
276 230 101
277 177 57
278 125 218
279 97 270
280 153 124
281 63 113
282 198 114
283 289 75
284 211 69
285 325 334
286 129 114
287 312 283
288 153 38
289 44 256
290 313 96
291 331 33
292 102 106
293 195 47
294 188 90
295 247 181
296 133 76
297 294 116
298 15 23
299 316 51
300 190 187
301 7 22
302 50 54
303 294 118
304 54 32
305 272 246
306 340 123
307 262 99
308 248 192
309 338 30
310 60 58
311 141 53
312 98 66
313 51 63
314 136 35
315 152 106
316 241 97
317 340 119
318 258 87
319 149 55
320 78 265
321 38 243
322 233 296
323 217 34
324 340 124
325 69 265
326 252 61
327 321 281
328 119 109
329 197 97
330 295 90
331 48 91
332 320 266
333 22 242
334 82 264
335 132 52
336 207 118
337 100 128
338 236 60
339 273 59
340 250 111
341 161 114
342 6 23
343 272 138
344 255 61
345 186 117
346 41 242
347 110 27
348 14 22
349 40 15
350 107 50
351 206 46
352 136 66
353 291 48
354 182 157
355 128 27
356 185 88
357 332 391
358 362 134
359 64 263
360 323 334
361 231 72
362 286 117
363 203 125
364 86 113
365 96 265
366 241 99
367 185 49
368 322 20
369 22 243
370 23 97
371 94 264
372 213 114
373 16 176
374 169 106
375 186 79
376 283 126
377 183 53
378 183 63
379 340 117
380 329 318
381 139 31
382 343 46
383 231 58
384 161 52
385 55 253
386 177 74
387 21 243
388 159 67
389 232 122
390 276 246
391 67 11
392 151 79
393 351 129
394 162 129
395 198 51
396 74 129
397 115 67
398 281 106
399 149 247
400 210 86
401 114 93
402 26 13
403 43 252
404 182 111
405 324 357
406 353 11
407 230 128
408 180 111
409 286 64
410 244 82
411 303 57
412 184 122
413 3 9
414 300 42
415 233 265
416 114 56
417 265 124
418 354 16
419 317 321
420 164 59
421 102 40
422 13 16
423 220 121
424 351 260
425 165 66
426 173 105
427 267 125
428 288 101
429 178 64
430 247 249
431 341 125
432 352 351
433 232 120
434 315 351
435 116 26
436 8 9
437 112 48
438 275 90
439 182 153
440 157 106
441 57 91
442 158 42
443 176 67
444 129 29
445 54 54
446 140 58
447 166 81
448 343 35
449 283 42
450 238 94
451 109 32
452 256 155
453 317 350
454 160 89
455 315 348
456 327 58
457 244 44
458 189 122
459 112 32
460 351 259
461 31 11
462 114 127
463 163 129
464 113 109
465 199 93
466 101 101
467 352 371
468 92 266
469 272 225
470 38 242
471 142 249
472 27 22
473 241 82
474 137 26
475 17 55
476 85 11
477 187 71
478 204 50
479 87 129
480 149 59
481 26 11
482 177 126
483 193 79
484 40 16
485 82 113
486 111 58
487 108 287
488 359 0
489 169 86
490 116 47
491 266 59
492 119 111
493 355 13
494 86 264
495 54 115
496 97 269
497 78 279
498 152 59
499 143 32
500 211 55
501 70 129
502 41 243
503 203 72
504 90 264
505 71 265
506 154 86
507 136 38
508 274 126
509 246 56
510 43 248
511 154 77
512 305 356
513 230 92
514 90 263
515 224 83
516 16 211
517 120 285
518 208 31
519 73 264
520 276 42
521 147 73
522 231 126
523 12 19
524 180 154
525 285 61
526 361 121
527 313 17
528 216 88
529 51 99
530 276 248
531 1 5
532 178 39
533 284 67
534 308 379
535 246 101
536 114 102
537 12 13
538 276 69
539 51 34
540 189 27
541 217 105
542 251 27
543 297 126
544 24 242
545 36 243
546 229 52
547 83 277
548 117 113
549 164 83
550 69 262
551 206 108
552 175 66
553 216 90
554 188 54
555 73 263
556 245 32
557 253 38
558 241 57
559 316 333
560 264 71
561 363 360
562 226 67
563 203 52
564 234 56
565 42 23
566 326 43
567 125 211
568 301 33
569 112 81
570 327 379
571 105 123
572 343 59
573 166 47
574 143 2
575 54 48
576 10 10
577 126 100
578 129 61
579 144 71
580 18 26
581 301 41
582 128 48
583 322 41
584 180 105
585 14 23
586 26 15
587 133 74
588 269 124
589 246 127
590 35 243
591 215 92
592 205 98
593 212 129
594 206 129
595 226 76
596 12 10
597 235 91
598 85 277
599 210 123
600 197 96
601 245 101
602 190 260
603 252 37
604 270 245
605 188 27
606 160 105
607 313 343
608 330 88
609 180 22
610 259 116
611 130 60
612 64 266
613 198 45
614 14 24
